name,medal_type,medal_date,gender,birth_date,country,discipline,event,lat,long
LOPEZ CARDONA Arlen,BRONZE,2024-08-04,MASCULINO,1993-02-21,Cuba,Boxing,Men's 80kg,21.521757,-77.781167
REYES PLA Enmanuel,BRONZE,2024-08-04,MASCULINO,1992-12-14,Spain,Boxing,Men's 92kg,40.463667,-3.74922
BOLTAEV Davlat,BRONZE,2024-08-04,MASCULINO,1999-01-13,Tajikistan,Boxing,Men's 92kg,38.861034,71.276093
PANG Cholmi,BRONZE,2024-08-04,FEMININO,1994-08-26,DPR Korea,Boxing,Women's 54kg,40.339852,127.510093
IM Aeji,BRONZE,2024-08-04,FEMININO,1999-05-11,Korea,Boxing,Women's 54kg,35.907757,127.766922
FAULKNER Kristen,OURO,2024-08-04,FEMININO,1992-12-18,United States,Cycling Road,Women's Road Race,38.7945952,-106.5348379
VOS Marianne,PRATA,2024-08-04,FEMININO,1987-05-13,Netherlands,Cycling Road,Women's Road Race,52.132633,5.291266
KOPECKY Lotte,BRONZE,2024-08-04,FEMININO,1995-11-10,Belgium,Cycling Road,Women's Road Race,50.503887,4.469936
von BREDOW-WERNDL Jessica,OURO,2024-08-04,FEMININO,1986-02-16,Germany,Equestrian,Dressage Individual,51.165691,10.451526
WERTH Isabell,PRATA,2024-08-04,FEMININO,1969-07-21,Germany,Equestrian,Dressage Individual,51.165691,10.451526
FRY Charlotte,BRONZE,2024-08-04,FEMININO,1996-02-11,Great Britain,Equestrian,Dressage Individual,55.378051,-3.435973
SCHEFFLER Scottie,OURO,2024-08-04,MASCULINO,1996-06-21,United States,Golf,Men's Individual Stroke Play,38.7945952,-106.5348379
FLEETWOOD Tommy,PRATA,2024-08-04,MASCULINO,1991-01-19,Great Britain,Golf,Men's Individual Stroke Play,55.378051,-3.435973
MATSUYAMA Hideki,BRONZE,2024-08-04,MASCULINO,1992-02-25,Japan,Golf,Men's Individual Stroke Play,36.204824,138.252924
CROVETTO CHADID Francisca,OURO,2024-08-04,FEMININO,1990-04-27,Chile,Shooting,Skeet Women,-35.675147,-71.542969
RUTTER Amber Jo,PRATA,2024-08-04,FEMININO,1997-08-21,Great Britain,Shooting,Skeet Women,55.378051,-3.435973
SMITH Austen Jewell,BRONZE,2024-08-04,FEMININO,2001-07-23,United States,Shooting,Skeet Women,38.7945952,-106.5348379
FINKE Bobby,OURO,2024-08-04,MASCULINO,1999-11-06,United States,Swimming,Men's 1500m Freestyle,38.7945952,-106.5348379
PALTRINIERI Gregorio,PRATA,2024-08-04,MASCULINO,1994-09-05,Italy,Swimming,Men's 1500m Freestyle,41.87194,12.56738
WIFFEN Daniel,BRONZE,2024-08-04,MASCULINO,2001-07-14,Ireland,Swimming,Men's 1500m Freestyle,53.7797554,-7.3055309
SJOESTROEM Sarah,OURO,2024-08-04,FEMININO,1993-08-17,Sweden,Swimming,Women's 50m Freestyle,60.128161,18.643501
HARRIS Meg,PRATA,2024-08-04,FEMININO,2002-03-07,Australia,Swimming,Women's 50m Freestyle,-25.274398,133.775136
ZHANG Yufei,BRONZE,2024-08-04,FEMININO,1998-04-19,China,Swimming,Women's 50m Freestyle,35.86166,104.195397
FAN Zhendong,OURO,2024-08-04,MASCULINO,1997-01-22,China,Table Tennis,Men's Singles,35.86166,104.195397
MOREGARD Truls,PRATA,2024-08-04,MASCULINO,2002-02-16,Sweden,Table Tennis,Men's Singles,60.128161,18.643501
LEBRUN Felix,BRONZE,2024-08-04,MASCULINO,2006-09-12,France,Table Tennis,Men's Singles,46.227638,2.213749
DJOKOVIC Novak,OURO,2024-08-04,MASCULINO,1987-05-22,Serbia,Tennis,Men's Singles,44.016521,21.005859
ALCARAZ Carlos,PRATA,2024-08-04,MASCULINO,2003-05-05,Spain,Tennis,Men's Singles,40.463667,-3.74922
OKA Shinnosuke,OURO,2024-08-05,MASCULINO,2003-10-31,Japan,Artistic Gymnastics,Men's Horizontal Bar,36.204824,138.252924
BARAJAS Angel,PRATA,2024-08-05,MASCULINO,2006-08-12,Colombia,Artistic Gymnastics,Men's Horizontal Bar,4.570868,-74.297333
ZHANG Boheng,BRONZE,2024-08-05,MASCULINO,2000-03-04,China,Artistic Gymnastics,Men's Horizontal Bar,35.86166,104.195397
TANG Chia-Hung,BRONZE,2024-08-05,MASCULINO,1996-09-23,Chinese Taipei,Artistic Gymnastics,Men's Horizontal Bar,23.69781,120.960515
ZOU Jingyuan,OURO,2024-08-05,MASCULINO,1998-01-03,China,Artistic Gymnastics,Men's Parallel Bars,35.86166,104.195397
KOVTUN Illia,PRATA,2024-08-05,MASCULINO,2003-08-10,Ukraine,Artistic Gymnastics,Men's Parallel Bars,48.379433,31.16558
OKA Shinnosuke,BRONZE,2024-08-05,MASCULINO,2003-10-31,Japan,Artistic Gymnastics,Men's Parallel Bars,36.204824,138.252924
D'AMATO Alice,OURO,2024-08-05,FEMININO,2003-02-07,Italy,Artistic Gymnastics,Women's Balance Beam,41.87194,12.56738
ZHOU Yaqin,PRATA,2024-08-05,FEMININO,2005-11-12,China,Artistic Gymnastics,Women's Balance Beam,35.86166,104.195397
ESPOSITO Manila,BRONZE,2024-08-05,FEMININO,2006-11-02,Italy,Artistic Gymnastics,Women's Balance Beam,41.87194,12.56738
ANDRADE Rebeca,OURO,2024-08-05,FEMININO,1999-05-08,Brazil,Artistic Gymnastics,Women's Floor Exercise,-14.235004,-51.92528
BILES Simone,PRATA,2024-08-05,FEMININO,1997-03-14,United States,Artistic Gymnastics,Women's Floor Exercise,38.7945952,-106.5348379
BARBOSU Ana,BRONZE,2024-08-05,FEMININO,2006-07-26,Romania,Artistic Gymnastics,Women's Floor Exercise,45.943161,24.96676
DUPLANTIS Armand,OURO,2024-08-05,MASCULINO,1999-11-10,Sweden,Athletics,Men's Pole Vault,60.128161,18.643501
KENDRICKS Sam,PRATA,2024-08-05,MASCULINO,1992-09-07,United States,Athletics,Men's Pole Vault,38.7945952,-106.5348379
KARALIS Emmanouil,BRONZE,2024-08-05,MASCULINO,1999-10-20,Greece,Athletics,Men's Pole Vault,39.074208,21.824312
CHEBET Beatrice,OURO,2024-08-05,FEMININO,2000-03-05,Kenya,Athletics,Women's 5000m,-0.023559,37.906193
KIPYEGON Faith,PRATA,2024-08-05,FEMININO,1994-01-10,Kenya,Athletics,Women's 5000m,-0.023559,37.906193
HASSAN Sifan,BRONZE,2024-08-05,FEMININO,1993-01-01,Netherlands,Athletics,Women's 5000m,52.132633,5.291266
HODGKINSON Keely,OURO,2024-08-05,FEMININO,2002-03-03,Great Britain,Athletics,Women's 800m,55.378051,-3.435973
DUGUMA Tsige,PRATA,2024-08-05,FEMININO,2001-02-23,Ethiopia,Athletics,Women's 800m,9.145,40.489673
MORAA Mary,BRONZE,2024-08-05,FEMININO,2000-06-15,Kenya,Athletics,Women's 800m,-0.023559,37.906193
ALLMAN Valarie,OURO,2024-08-05,FEMININO,1995-02-23,United States,Athletics,Women's Discus Throw,38.7945952,-106.5348379
FENG Bin,PRATA,2024-08-05,FEMININO,1994-04-03,China,Athletics,Women's Discus Throw,35.86166,104.195397
